;Unnamed: 0;Title;Artist;Year;0;has_lyrics;track_id;genre;language;instrumental;lyrics;sadness;joy;fear;disgust;anger;sentiment
471;471;Get It Poppin';Fat Joe Featuring Nelly;2005;442;1.0;3789217.0;;English;0.0;"Crack, yeah, Scott Storch y'all
Dirty, Crack, c'mon

It's two up in the mornin' girl
And the DJ playin' that song
Now what'chu gon' do?
(Gonna get get get it poppin' boy)
Now what'chu gon' do?
(Gonna get get get it poppin')

I said, it's two up in the mornin' girl
And the DJ playin' that song
Now what'chu gon' do?
(Gonna get get get it poppin' boy)
Now what'chu gon' do?
(Gonna get get get it poppin')

I got that black no limit American Express card
Mami you can get whatever you like
Plus I got that all-black Phantom, it's tinted on four sides
Go 'head kiss it, they can't see us inside

Mami tell me do you like it, I know you like it
It's written all over your face don't fight it
You like it, more than I like it
So put it all over your face don't bite it

From rags to riches, club packed with bitches
Had to bag them digits, her head game was vicious
And we can get it poppin' in the bathroom
Don't be selfish ma, go ahead and pass it to him

Then we can all fuck
It's like a million on my neck, got all of these bitches all awestruck
We pissy drunk off of Seraphim
I'm up in V.I.P. and these bitches are screamin', let me in

It's two up in the mornin' girl
And the DJ playin' that song";0.152838;0.070762;0.041936;0.258481;0.666596;0.448114
472;472;Wake Me Up When September Ends;Green Day;2005;32;1.0;16782594.0;Alternative;English;0.0;"Summer has come and passed
The innocent can never last
Wake me up when September ends

Like my father's come to pass
Seven years has gone so fast
Wake me up when September ends

Here comes the rain again
Falling from the stars
Drenched in my pain again
Becoming who we are

As my memory rests
But never forgets what I lost";0.828592;0.095648;0.10674;0.007975;0.066631;-0.877019
473;473;Don't Phunk With My Heart;The Black Eyed Peas;2005;562;1.0;3752110.0;Hip Hop/Rap;English;0.0;"No, no, no, no, don't phunk with my heart
(Yeah)
No, no, no, no, don't phunk with my heart

I wonder if I take you home
Would you still be in love, baby (in love, baby)
I wonder if I take you home
Would you still be in love, baby (in love, baby)

Girl, you know you got me, got me
With your pistol shot me, shot me
And I'm here helplessly
In love and nothing can stop me
You can't stop me 'cause once I start it
Can't return me once you bought it
I'm coming baby, don't got it (don't make me wait)
So let's be about it

No, no, no, no
Don't phunk with my heart

Baby, have some trustin', trustin'
When I come in lustin', lustin'
'Cause I bring you that comfort
I ain't only here cause I want ya body
I want your mind too
Interestin's what I find you
And I'm interested in the long haul
Come on girl (yee-haw)

I wonder if I take you home";0.139851;0.683098;0.119957;0.014897;0.027618;0.900647
474;474;These Words;Natasha Bedingfield;2005;147;1.0;2873461.0;Pop;English;0.0;"These words are my own

Threw some chords together
The combination D-E-F
It's who I am, it's what I do
And I was gonna lay it down for you

Try to focus my attention
But I feel so A-D-D
I need some help, some inspiration
(But it's not coming easily)

Woah oh!
Trying to find the magic (Woah oh)
Trying to write a classic (Woah oh)

Don't you know, don't you know, don't you know? (Woah oh)
Waste-bin full of paper

Clever rhymes, see you later
These words are my own
From my heart flow

I love you, I love you, I love you, I love you
There's no other way
To better say
";0.029597;0.853861;0.113043;0.002303;0.016944;0.357734
475;475;Play;David Banner;2005;73;1.0;17889387.0;Hip Hop/Rap;English;0.0;"Cum girl, I'm tryna get your pussy wet
Work that, lemme see you drip sweat
Cum girl, I'm tryna get your pussy wet
Work that, lemme see you drip sweat
Gon play with it
Gon play with it
Gon play with it
Gon play with it
Gon play with it
Work that clit
Cum girl

Finger fuck your pussy like you want some, girl
Work it like a nigga straight licking on your pearl
I wanna see you cum in the middle of the dance floor
A nigga can't fuck, what you think a friend of me for
I'ma beat that pussy up
You get it wet enough, I might lick it up
Lickey, lickey, lickey, like a peppermint swirl
Lick that clit
Cum girl
Uh, I wanna see your legs shake
Take you to the crib, we can fuck til the bed break
Uh, fuck you til your pussy ache
Think about the type right now, girl, mastur
(Uh uh) Beg for a nigga, freak you in the clubs
stop worrying about them other hoes
It's me in your world
Work that clit
Cum girl

Cum girl, I'm tryna get your pussy wet
Work that, lemme see you drip sweat
Cum girl, I'm tryna get your pussy wet
Work that, lemme see you drip sweat
Gon play with it";0.379946;0.014246;0.281484;0.471788;0.261389;-0.9383
476;476;Holiday;Green Day;2005;333;1.0;15914815.0;Alternative;English;0.0;"Say hey!

Hear the sound of the falling rain
Coming down like an Armageddon flame
The shame, the ones who died without a name

Hear the dogs howling out of key
To a hymn called ""Faith and Misery""
And bleed, the company lost the war today

I beg to dream and differ from the hollow lies
This is the dawning of the rest of our lives
On holiday

Hear the drum pounding out of time
Another protester has crossed the line";0.635505;0.095603;0.189083;0.105919;0.228729;-0.395105
478;478;Gold Digger;Kanye West Featuring Jamie Foxx;2005;49;1.0;19426051.0;;English;0.0;"She take my money when I'm in need
Yeah, she's a triflin' friend indeed
Oh, she's a gold digger
Way over town that digs on me

(She give me money) Now, I ain't sayin' she a gold digger
(When I'm in need) But she ain't messin' with no broke niggas
(She give me money) Now, I ain't sayin' she a gold digger
(When I'm in need) But she ain't messin' with no broke niggas
(I gotta leave) Get down girl, go 'head, get down
(I gotta leave) Get down girl, go 'head, get down
(I gotta leave) Get down girl, go 'head, get down
(I gotta leave) Get down girl, go 'head

Cutie the bomb, met her at a beauty salon
With a baby Louis Vuitton under her underarm
She said: ""I can tell you rock, I can tell by your charm
Far as girls, you got a flock
I can tell by your charm and your arm.""
But I'm lookin' for the one, have you seen her?
My psychic told me she'll have a ass like Serena
Trina, Jennifer Lopez, four kids
And I gotta take all they bad asses to ShowBiz?
Okay, get your kids, but then they got their friends
I pulled up in the Benz, they all got up in
We all went to din' and then I had to pay
If you fuckin' with this girl, then you better be paid
You know why? It take too much to touch her
From what I heard she got a baby by Busta";0.108875;0.035822;0.112061;0.03768;0.350231;-0.515575
480;480;Wake Up;Hilary Duff;2005;22;1.0;8138634.0;Pop;English;0.0;"There's people talking
They talk about me
They know my name
They think they know everything
But they don't know anything
About me

Give me a dance floor
Give me a dj
Play me a record
Forget what they say
Cause I need to go
Need to getaway tonight

I put my makeup on a Saturday night
I try to make it happen
Try to make it all right
I know I make mistakes
I'm living life day to day
It's never really easy but it's ok

Wake Up Wake Up
On a Saturday night
Could be New York
Maybe Hollywood and Vine
London, Paris maybe Tokyo
There's something going on anywhere I go
Tonight
Tonight
Yeah, tonight";0.400069;0.460322;0.054658;0.053488;0.142967;-0.627032
481;481;Grind With Me;Pretty Ricky;2005;489;1.0;16423827.0;Hip Hop/Rap;English;0.0;"Baby grind on me
Relax your mind take your time on me
I love you deeper if you cry for me
Now come and kiss me till yo body gets weak
Just grind on me baby
Grind on me
Relax your mind take your time on me
I love you deeper if you cry for me
Now come and kiss me till yo body gets weak
Just grind on me baby

When I grind I make'em say (ahh)
Slow grind be my day (job)
I grind in the back of my (car)
Keep it movin like a see (saw)
I make'em laugh and giggle
Cuddle a little
Kiss on ya neck
Like girl let me see that thing jiggle
Girlfriend your body's so raw
I could tell you a superstar
B.l.u.e.s.t.a.r.
I could tell around the block how sexy you are
I drink red bull so I keep stamina
What's my name
What's my name
What's my name
Prettie rickie pretty boy
Doing pretty good thangs
Makng pretty good change
Getting pretty good
From these pretty pretty chicks

Getting pretty damn rich

Prettie rickie rickie rickie and the maverix
Baby grind on me
Relax your mind take your time with me
I love you deeper if you cry for me
Now come and kiss me till yo body gets weak";0.158183;0.791242;0.015554;0.007832;0.045889;0.733666
482;482;Since U Been Gone;Kelly Clarkson;2005;389;1.0;30468202.0;Pop;English;0.0;"Here's the thing, we started out friends
It was cool but it was all pretend
Yeah, yeah, since you been gone
You're dedicated, you took the time
Wasn't long 'til I called you mine
Yeah, yeah, since you been gone
And all you'd ever hear me say
Is how I picture me with you
That's all you'd ever hear me say
But since you been gone
I can breathe for the first time
I'm so moving on, yeah yeah
Thanks to you
Now I get
What I want";0.355583;0.340356;0.07832;0.062014;0.318367;0.702418
483;483;Best Of You;Foo Fighters;2005;313;1.0;30923194.0;Pop;English;0.0;"I've got another confession to make
I'm your fool
Everyone's got their chains to break
Holdin' you

Were you born to resist, or be abused?

Is someone getting the best
The best, the best, the best of you?
Is someone getting the best
The best, the best, the best of you?

Are you gone and onto someone new?

I needed somewhere to hang my head
Without your noose
You gave me something that I didn't have
But had no use
I was too weak to give in
Too strong to lose

My heart is under arrest again
But I'll break loose
My head is giving me life or death";0.39982;0.018731;0.353463;0.1612;0.460673;-0.497798
484;484;Back Then;Mike Jones;2005;173;1.0;19318905.0;Hip Hop/Rap;English;0.0;"Back then hoes didn't want me, now I'm hot hoes all on me
Back then hoes didn't want me, now I'm hot hoes all on me, I said
Back then hoes didn't want me, now I'm hot hoes all on me
Back then hoes didn't want me, now I'm hot hoes all on me, I said

Back then hoes didn't want me, now I'm hot hoes all on me
Back then hoes didn't want me, now I'm hot hoes all on me, I said
Back then hoes didn't want me, now I'm hot hoes all on me
Back then hoes didn't want me, now I'm hot hoes all on me, I said

Mike Jones!
Befo' I came up in the game these hoes didn't show no love
They see me in the club and used to treat me like a scrub
They wouldn't holla? cause my dollars wasn't swoll enough
I bet they change they mind when them 84's come rollin' up

They see that I'm a star, now they wanna sit in my car
Now they wanna count my cheese, smoke my weed and sip my bar now
They used to love to me diss me, now they rush to hug and kiss me now
They tellin' all they friends when I leave how they miss me now

281-330-8004
Hit Mike Jones up on the low? cause Mike Jones about to blow
Befo' the ice was in my grill, befo' I got my major deal
These hoes wouldn't give a damn if I was heah, geah, I said

Befo' the ice was in my grill, befo' I got my major deal
These hoes wouldn't give a damn if I was heah, geah, I said
Befo' the ice was in my grill, befo' I got my major deal
These hoes wouldn't give a damn if I was heah, geah, because

Back then hoes didn't want me, now I'm hot hoes all on me";0.489061;0.016095;0.191315;0.256291;0.433904;-0.95267
485;485;Outta Control (Remix);50 Cent Featuring Mobb Deep;2005;24;1.0;35784416.0;Hip Hop/Rap;English;0.0;"It's the Infamous Mobb, M O B B
We can't be touched nigga can't you see?
(G-Unit)
You do you man 'cause me I'm 'gon do my thang
(You know I do my thang)
I'm a get my drink on and party like it's okay

Trust me man it's okay bounce with me in slow mo'
When they hear the kid in the house it's like oh no
50 got 'em locin' again, they open again
Got 'em sippin' on that juice and gin

You could find me in the background burnin' that backwood
Stylin' and stuntin' doin' my two step frontin'
Now I'm a tell you what Em told me homey
Just lose the parental discretion's advised this is grown folk music

Now blend in with me, as I proceed to break it down
It's always off the chain man when I'm around
I play the block bumpin', it was all for the dough
I get the club jumpin', 'cause I'm sick with flow

You know it's sold out, like wherever I go
I jam packed the show man that's fo' sho'
I got the info you already know
Man I get it poppin' in the club everybody show me love let's go

You know, I got what it takes
To make the club go outta control
Quit playin' turn the music up a little bit
Bounce with me now shorty let's get into it
";0.337805;0.120378;0.237396;0.104345;0.488951;-0.884768
486;486;Mr. Brightside;The Killers;2005;322;1.0;31530958.0;Alternative;English;0.0;"I'm coming out of my cage and I've been doing just fine
Gotta, gotta be down because I want it all
It started out with a kiss, how did it end up like this?
It was only a kiss, it was only a kiss
Now I'm falling asleep and she's calling a cab
While he's having a smoke and she's taking a drag
Now they're going to bed and my stomach is sick
And it's all in my head, but she's touching his

Chest now, he takes off her dress now
Let me go
I just can't look, it's killing me
And taking control
";0.168514;0.026671;0.55574;0.362407;0.27818;-0.869579
487;487;Mississippi Girl;Faith Hill;2005;110;1.0;92328964.0;Country;English;0.0;"Yeah

Well, it's a long way from Star, Mississippi
To the big stage I'm singing on tonight
And sometimes the butterflies still get me
When I'm in the spotlight

And some people seem to think that I've changed
That I'm different than I was back then
But in my soul, I know that I'm the same way
That I've really always been

'Cause a Mississippi girl don't change her ways
Just 'cause everybody knows her name
Ain't big headed from a little bit of fame
I still like wearing my old ball cap
Riding my kids around piggy back
They might know me all around the world";0.281465;0.535707;0.137067;0.032103;0.100198;-0.32071
488;488;Badd;Ying Yang Twins Featuring Mike Jones & Mr. ColliPark;2005;31;1.0;34432408.0;;English;0.0;"colipark - sheah
mike jones - who
mike jones - jones
hollah at yo boy baby
you killed it on this one man
shea
we got ying yang twins and mike jones in the house tonight
colinpark and swisher house in this bitch
check it out
yo - yo
I'm lookin' for a dime that's top of the line
Cute face lil' waist wit a big behind
I need a dime that's top of the line
Cute face lil' waist wit a big behind
You want this money then you gotta be a
Badd bitch
Shake that ass for a tip of you a
Badd bitch
Drop it down to the floor if you a
Badd bitch
Aw no she ain't no hoe, she just a
Badd bitch

I'm in the club, lookin' for a
Badd bitch
In the parking lot, lookin' for a
Badd bitch
Everywhere I go I'm trying to find that
Badd bitch
You know me I gotta keep me a
Badd bitch
Freak in the mornin', freak in the evenin'
I'm looking for a freak when I'm done block bleedin
Now take me to a house, tease me, then please me
And tell all her friends how the dick made her sleepy,
and believe me, when I'm up in there I'm beatin' it,
givin' ya that Mike Jones' treatment
I could tell by the way she walk that she got it";0.161681;0.040623;0.274747;0.262054;0.637569;-0.910481
489;489;As Good As I Once Was;Toby Keith;2005;175;1.0;18245842.0;Country;English;0.0;"She said I seen you in here before
I said I been here a time or two
She said Hello my name is Bobby Jo
Meet my twin sister Betty Lou
And we're both feelin' kinda wild tonight
You're the only cowboy in this place
And if you're up for a rodeo
I'll put a big Texas smile on your face... I said girls...

I ain't as good as I once was
I got a few years on me now
But there was a time, back in my prime
When I could really lay it down
If you need some love tonight
Then I might have just enough
I ain't as good as I once was, but I'm as good once
As I ever was";0.227159;0.65447;0.10062;0.027878;0.043876;0.571494
490;490;My Humps;The Black Eyed Peas;2005;12;1.0;18057223.0;Hip Hop/Rap;English;0.0;"Whatcha gonna do with all that junk
All that junk inside your trunk

I'ma get get get get you drunk
Get you love drunk off my hump
My hump my hump my hump my hump my hump
My hump my hump my hump my lovely little lumps

Check it out

I drive these brothers crazy
I do it on the daily
They treat me really nicely
They buy me all these ice
Dolce and Gabbana
Fendi and Madonna
Caring they be sharin'
All their money got me wearing fly
Whether I ain't askin'
They say they love mah ass in
Seven jeans
True religion
I say no
But they keep givin'
So I keep on takin'
And no I ain't takin'
We can keep on datin'
Now keep on demonstratin'

My love my love my love my love
You love my lady lumps
My hump my hump my hump
My humps they got you

She's got me spending

Oh, spending all your money on me
And spending time on me

She's got me spending

Oh, spending all your money on me
Uh on me on me

Whatcha gonna do with all that junk
All that junk inside that trunk";0.076837;0.673576;0.041302;0.026491;0.24447;0.744666
491;491;Just A Lil Bit;50 Cent;2005;483;1.0;3868690.0;Hip Hop/Rap;English;0.0;"Yeah, Sha-dy, Aftermath - G-Unit!

Damn baby all I need is a lil' bit
A lil' bit of this, a lil' bit of that
Get it crackin in the club when you hear the shit
Drop it like it's hot, get to whippin that back
Girl shake that thing, yeah work that thing
Let me see it go up, and, down
Rotate that thang, I wanna touch that thang
When you make it go round and round

I step up in the club I'm like ""Who you wit?""
G-Unit in the house, yeah that's my clique
Yeah, I'm young, but a nigga from the old school
On the dancefloor a nigga doin old moves
I don't give a fuck, I do what I wan' do
I hit your ass up boy, I done warned you
Better listen when I talk nigga, don't trip
Yo' heat in the car, mines in this bitch
I ain't tryin to beef, I'm tryin to get my drink on
And my diamonds, my fitted, and my mink on
I'mma kick it at the bar 'til it's time to go
Then I'mma get in shorty ear and I'mma let her know

All a nigga really need is a lil' bit
Not a lot baby girl, just a lil' bit
We can head to the crib in a lil' bit";0.205759;0.029595;0.299111;0.224263;0.624626;-0.651692
492;492;La Tortura;Shakira Featuring Alejandro Sanz;2005;29;1.0;6833579.0;Pop in Spanish;Spanish;0.0;"Ay, payita mía, guárdate la poesía
Guárdate la alegría pa' ti

No pido que todos los días sean de sol
No pido que todos los viernes sean de fiesta
Y tampoco te pido que vuelvas rogando perdón
Si lloras con los ojos secos y hablando de ella

Ay, amor, me duele tanto
Me duele tanto
Que te fueras sin decir a dónde
Ay, amor, fue una tortura perderte

Yo sé que no he sido un santo
Pero lo puedo arreglar, amor
No sólo de pan vive el hombre
Y no de excusas vivo yo

Sólo de errores se aprende
Y hoy sé que es tuyo mi corazón
Mejor te guardas todo eso
A otro perro con ese hueso, y nos decimos adiós";;;;;;
493;493;Lonely No More;Rob Thomas;2005;349;1.0;30655870.0;Rock;English;0.0;"Now it seems to me
That you know just what to say
Words are only words
Can you show me something else
Can you swear to me that you'll always be this way
Show me how you feel
More than ever baby

I don't wanna be lonely no more
I don't wanna have to pay for this
I don't want to know the lover at my door
Is just another heartache on my list

I don't wanna be angry no more
You know I could never stand for this
So when you tell me that you love me know for sure
I don't want to be lonely anymore";0.552154;0.301609;0.088279;0.054458;0.123418;-0.977166
494;494;Speed Of Sound;Coldplay;2005;357;1.0;71776971.0;Pop;English;0.0;"How long before I get in
Before it starts, before I begin
How long before you decide
Before I know what it feels like
Where to? Where do I go
If you've never tried then you'll never know
How long do I have to climb
Up on the side of this mountain of mine?

Look up, I look up at night
Planets are moving at the speed of light
Climb up, up in the trees
Every chance that you get is a chance you seize
How long am I gonna stand
With my head stuck under the sand?
I'll start before I can stop
Or before I see things the right way up";0.283143;0.076269;0.440112;0.159765;0.360205;-0.653348
496;496;Switch;Will Smith;2005;428;1.0;17810930.0;Hip Hop/Rap;English;0.0;"Yo mic check, mic check, yeah here you go
What? Nah, he, he over here
Yeah, I heard he got that hot new thing
It's called? Switch'
Let's get it going

(Switch)
Hey! Turn it over and hit it
Turn around now switch
Turn it over and hit it

Hey! Vibe to vibe a second
It's a club girl, why you arrived neckid'?
Hear that, how the veteran glide the record
But don't download, go out and buy the record

Hey! Huh, something sexy 'bout a
Girl on the floor, all her friends around her
I mean real clean, ain't gotta touch or nuttin'
It ain't like I like a chick on chick or sumtin'

I'm just a sucker for a hot track
Gimme a drink and a chick to tell,? Stop that?
Dance is a hop and a clap, flip it? round
Now bring it on back, break it down
Now switch

Hey! Turn it over and hit it
Turn around now switch
Hey! Turn it over and hit it
(Ooh la la la)

(Switch)
Hey! Turn it over and hit it
Turn around now switch";0.437773;0.581569;0.585131;0.101347;0.156409;0.504548
497;497;Must Be Nice;Lyfe Jennings;2005;23;1.0;19427979.0;Pop;English;0.0;"Ayo you
You that just flipped on this CD player
I just wanna inform you that
When you got somebody good

You hold on to em'
Mmm...
Must be nice
Having someone who understands

The life you live
Must be nice
Having someone who's slow to take
And quick to give

Must be nice
Having someone who sticks around
When the rough times get thick
Someone who's smile is bright enough

To make the projects feel like a mansion
Must be nice
Having someone who loves you
Despite your faults
";0.101047;0.737254;0.016276;0.017628;0.171746;0.856553
498;498;Collide;Howie Day;2005;231;1.0;1639440.0;Pop;English;0.0;"The dawn is breaking
A light shining through
You're barely waking
And I'm tangled up in you

Yeah
I'm open, you're closed
Where I follow, you'll go
I worry I won't see your face

Light up again
Even the best fall down sometimes
Even the wrong words seem to rhyme
Out of the doubt that fills my mind";0.538924;0.035115;0.591339;0.012687;0.073778;-0.910634
499;499;Make Her Feel Good;Teairra Mari;2005;54;1.0;3925282.0;Hip Hop/Rap;English;0.0;"(Chorus)
Is there any boys around that know how to make a girl feel?
That wanna make a girl feel?
make her feel good?
All I wanna know

is there any boys around that know how to make a girl feel?
That wanna make a girl feel?
make her feel good?
I just wanna know

(Verse 1)
Do I have to tell a nigga how to touch me? (huh)
Do I have to tell a nigga how to hold me? (huh)
Do I have to tell a nigga when to call me? (huh)
Do I have to tell a nigga I'm lonely? (huh)
Do I have to feel wrong (huh) when it ain't strong?
Keep my mouth closed? (huh huh huh)
Can't a girl from the hood find a homie
that ain't just tryna hang around me? (huh)

Do I have to show a nigga I'm a woman? (huh)
Do I have to apologize for my emotions? (huh)
Do I have to tell a nigga what to say to me (huh) everytime he wanna get next to me? (huh)
Do I have to settle full cat that can't score (huh)
Stroke his ego? (mmh girl no)
Can't a chick from the hood find a homie that wanna do more than spend money on me?";0.647786;0.62756;0.091619;0.184479;0.158953;-0.691391
500;500;Free Yourself;Fantasia;2005;46;1.0;86670596.0;;English;0.0;"Baby you don't pay no mind
You act like you don't love me no more
Maybe you need space or some time
Your attitude is unpredictable

And I don't want to make you unhappy
If you're not happy then you're free to go on
'Cause I don't want you stayin' around
If I make you so miserable

If you don't want me then don't talk to me
(If you don't want me then don't talk to me)
Go ahead and free yourself
(Go ahead and free yourself, yeah)

If you don't want me then don't talk to me
(If you don't want me then don't talk to me)
Go ahead to someone else
(Go ahead to someone else, yeah)

If you don't want me then don't talk to me
(If you don't want me then don't talk to me)
Go ahead and free yourself
(Go ahead and free yourself, yeah)

If you don't want me then don't talk to me
(If you don't want me then don't talk to me)
Go ahead to someone else
(Go ahead to someone else, yeah)

(Time again and again I try, I try)";0.165313;0.082015;0.021937;0.013137;0.024598;-0.898039
501;501;A Real Fine Place To Start;Sara Evans;2005;1;1.0;14670160.0;Country;English;0.0;"I'm gonna do it darlin'
I could waste time tryin' to figure it out
But I'm jumpin' in anyhow
I've never been this far
Didn't know love could run so deep
Didn't know I'd lose this much sleep

Holdin' you close, chasin' that moon
Spendin' all night
Lovin' just who you are
Sparks flyin' in the dark
Shootin' out lights, huntin' down dreams
Figurin' out what love really means

Baby givin' you my heart
Is a real fine place to start";0.214601;0.63113;0.195609;0.011643;0.023646;0.355913
502;502;Oh;Ciara Featuring Ludacris;2005;428;1.0;14970418.0;;English;0.0;"This is where they stay crunk, throw it up, dubs on the Cadillac
White tees, Nikes, gangstas don't know how to act
Adamsville, Bankhead, College Park, Carver Homes
Hummers floatin' on chrome
Chokin' on that home-grown
They got that southern cookin'
They got them fellas lookin'
Thinkin' I was easy, I can see it
That's when I say no, what for
Shawty can't handle this
Ciara got that fire like
(hook)

Oh, round here we ridin' slow
We keep it ghetto, you should know
Gettin' crunk off in the club, we gets low, oh
Oh (oh), all my ladies to the flo'
Handle it ladies, bag it up
Gettin' crunk up in the club, we gets low, oh

(verse 2)

Buddy take a new whip, paint strip, into a bowlin' ball";0.164758;0.277431;0.112495;0.274997;0.374795;0.567687
503;503;Let Me Go;3 Doors Down;2005;280;1.0;3383928.0;Rock;English;0.0;"One more kiss could be the best thing
Or one more lie could be the worst
And all these thoughts are never resting
And you're not something I deserve

In my head there's only you now
This world falls on me
In this world there's real and make believe
And this seems real to me

And you love me but you don't know who I am
I'm torn between this life I lead and where I stand
And you love me but you don't know who I am
So let me go
Let me go

I dream ahead to what I hope for
And I turn my back on loving you";0.391905;0.579872;0.015317;0.017809;0.039624;-0.90052
504;504;How To Deal;Frankie J;2005;77;1.0;18725060.0;Pop;English;0.0;"Sometimes a man has to choose
And do something he doesn't wanna do
Do I live my life with you as my wife?
Or do I go on and pursue my lifetime dream?

I gotta do this for me
'Cuz if I dont I'll probably regret it
But if I do I'll probably regret it
How do I cope?

How do you cope when the one you love is with somebody else
And there's nothin' you can do about it?
How do you deal with the fact that you had a chance
But you chose to turn away for your career?

I gotta take it though it's heart breakin'
It's somethin' that I had to do
But nobody said that it would hurt so bad
So how do I live? How do I deal without you?

It's killing me to know that your heart's with me
But you're with him 'cuz I chose to be in this industry
Money, shows and hoes come along with luxury and pain";0.671215;0.520406;0.211603;0.063914;0.095143;-0.724653
506;506;Give Me That;Webbie Featuring Bun B;2005;138;1.0;16165547.0;;English;0.0;"Girl, give me that
Girl, give me that
Girl, give me that pussy

Girl, give me that
Girl, give me that
Girl, give me that pussy

Girl, give me that
Girl, give me that there
Girl, give me that pussy
Girl, give me that
Girl, give me that

You know you want it
Girl, don't act like you don't want it
Girl, I want it just as bad as you do
And look, see I can tell from this lil vibe
You got me feeling that you dig me
Boo, I'm digging you too
You wanna be one of the chosen few
Then gon jig up in this motherfucker

Maybe me and you can do it big up in this motherfucker
Sit you in a crib where you can chill
Don't have to move a muscle
Give you some be good now you be good
Daddy gon hustle
Come here, let me whisper in your ear
I gotta tell you something
Listening to this song kinda make a nigga want something

Did some daydreaming
Now I'm fiending like I'm on something
Girl, don't hold it from me
'Cuz right now I'll be don strong on ya
I ain't the type to ruin your life
By running game and throwing your dreams
Get in your brain, suit your game
Ease your pain and show you things
Sit you on some leather seats while blowing green
And switching lanes
Girl, stop playing, let me beat it out the frame
";0.372744;0.247999;0.075009;0.084115;0.452111;0.536742
507;507;These Boots Are Made For Walkin';Jessica Simpson;2005;132;1.0;30133138.0;;English;0.0;"Are you ready boots?
Start walkin'
Yee Haw
come on
Let's go

You keep sayin you got somethin for me
Well officer I don't mind to say you do
Now your lookin right where I thought you'd be looking
Legs come handy when law's in front of you

These boots are made for walkin
And that's just what they'll do
One of these days these boots are gonna walk all over you

You believe you've stopped me for a reason (uh)
Now I'm pretending my bendings just for fun
You keep playin where I got you playin (yeah)
These double - D initals work to run

These boots are made for walkin
And that's just what they'll do
One of theses days these boots are gonna walk all over you

I'm the girl with the good ol' boys who don't mean you no harm";0.21279;0.441983;0.100245;0.087922;0.273016;0.419391
508;508;Inside Your Heaven;Carrie Underwood;2005;259;1.0;4418139.0;Pop;English;0.0;"I've been down, now I'm blessed
I felt a revelation coming around
I guess it's right, it's so amazing
Every time I see you I'm alive

You're all I've got
You lift me up
The sun and the moonlight
All my dreams are in your eyes

And I wanna be inside your heaven
Take me to the place you cry from
Where the storm blows your way

And I wanna be the earth that holds you
Every bit of air you're breathing in, a soothin' wind
I wanna be inside your heaven";0.225652;0.639368;0.085015;0.003093;0.107121;0.997648
509;509;Baby I'm Back;Baby Bash Featuring Akon;2005;210;1.0;3427294.0;;English;0.0;"Ooh yeah
Said anything that you want me to and I'll do it
Tell me what the word is?
(Already)
Tell me what the word is?
(Already)
Tell me what the word is?
(Already)
Tell me what the word is?
(Already)

Baby, don't look no farther
Baby, I'm back here
I'm here to cater to you
 (Anything that you want me to I'll do it)

'Cause I'll be your lover
(I'll be your lover)
And I'll be your best friend
Tell me what I gotta do
 (Tell me what I gotta do and I'll do it)

Now I'm back in a flesh, feelin' so blessed
Back in your corner suga, suga don't stress
Forget about the rest, let's go inside
I'm back in your zone, baby, I'm back in your vibe

Now I can't be denied I can lie I'm on ya
I never ever wanna say ""Sayonara""
Somebody told me that the grass was greener
On the other side of Lake Arriba
";0.085627;0.200685;0.062971;0.037582;0.148586;0.915744
510;510;Chariot;Gavin DeGraw;2005;142;1.0;80872608.0;Pop;English;0.0;"Staring at a maple leaf
Leaning on the mother tree
I said to myself, ""We all lost touch""
Your favorite fruit is chocolate covered cherries
And seedless watermelon, oh
Nothing from the ground is good enough
Body rise
It puts over me

Oh chariot, your golden waves
Are walking down upon this face
Oh chariot, I'm singing out loud
To guide me
Give me your
Strength

Remember seeking moons rebirth
Rains made mirrors of the earth
The sun was just yellow energy
It is a living promise land";0.111235;0.79616;0.088988;0.013607;0.015901;-0.934876
511;511;Diamonds From Sierra Leone;Kanye West;2005;9;1.0;19530704.0;Hip Hop/Rap;English;0.0;"Diamonds are forever
They won't leave in the night
I've no fear that they might
Desert me

Diamonds are forever (forever, forever)
Throw your diamonds in the sky if you feel the vibe
Diamonds are forever (forever, forever, forever)
The Roc is still alive every time I rhyme.
Forever ever? Forever ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?...

Close your eyes and imagine, feel the magic
Vegas on acid,
Seen through Yves St. Laurent glasses
And I've realized that I've arrived, cuz
It take more than a magazine to kill my Vibe does
he write his own rhymes, so sort of
I think 'em
That mean I forgot better shit than u ever thought up
Damn, is he really that caught up?
I ask if you talkin' bout classics, do my name get brought up?
I remember I couldn't afford a Ford
Escort or even a four-track recorder
so its only right that I let the top drop on a drop-top Porsche
- its for yourself that's important
If a stripper named Porscha and u get tips from many men
Then your fat friend her nickname is Minivan
Excuse me,
That's just the Henny, man, I smoke,
I drink, I'm supposed to stop I can't because
";0.282421;0.572325;0.113212;0.200219;0.203982;-0.623855
